time,ax,ay,az,atotal
2.244,-0.00,0.69,0.66,0.95
2.255,-0.29,0.56,0.37,0.73
2.265,-0.49,0.33,0.07,0.60
2.275,-0.48,0.10,0.01,0.49
2.285,-0.11,0.01,0.14,0.18
2.295,0.31,-0.13,0.44,0.56
2.305,0.70,-0.26,0.54,0.92
2.315,1.03,-0.28,0.33,1.12
2.325,1.22,-0.32,0.41,1.33
2.335,1.25,-0.37,0.49,1.39
2.345,1.08,-0.50,0.53,1.31
2.355,0.83,-0.70,0.84,1.37
2.365,0.48,-0.72,1.14,1.43
2.375,0.12,-0.52,1.07,1.19
2.385,-0.03,-0.28,1.19,1.22
2.395,-0.05,-0.12,1.36,1.37
2.405,-0.03,-0.42,1.22,1.29
2.415,0.18,-1.01,1.34,1.69
2.425,0.47,-1.34,1.19,1.85
2.435,0.51,-1.61,1.26,2.11
2.445,0.29,-2.02,1.80,2.72
2.455,-0.05,-2.43,2.48,3.47
2.465,-0.51,-2.52,2.94,3.90
2.475,-0.82,-2.64,2.70,3.86
2.485,-1.12,-3.23,2.53,4.25
2.495,-2.07,-5.33,3.61,6.76
2.505,-2.51,-9.05,7.39,11.95
2.515,-0.81,-14.82,6.92,16.38
2.525,0.95,-17.77,7.64,19.37
2.535,1.37,-13.55,7.70,15.64
2.545,1.80,-11.87,9.45,15.28
2.556,0.79,-11.01,10.88,15.50
2.565,-2.11,-9.00,8.69,12.69
2.575,-6.33,-7.39,3.09,10.21
2.585,-8.82,-6.89,-0.01,11.20
2.595,-9.96,-8.57,5.70,14.32
2.605,-9.70,-10.27,11.19,18.02
2.615,-7.34,-8.14,11.35,15.78
2.625,-4.39,-4.51,12.05,13.60
2.635,-2.42,-2.66,11.91,12.44
2.645,-2.80,-1.10,11.02,11.43
2.655,-2.79,0.34,10.65,11.02
2.665,-2.51,1.41,10.60,10.98
2.675,-2.63,1.94,10.66,11.15
2.685,-2.27,2.11,10.09,10.55
2.696,-1.31,2.18,9.51,9.85
2.705,-0.49,2.16,8.95,9.22
2.716,-0.26,2.27,7.68,8.01
2.725,-0.48,2.20,6.52,6.90
2.736,-0.68,1.50,5.98,6.20
2.746,-0.55,0.66,5.32,5.39
2.756,-0.25,0.27,4.14,4.16
2.765,-0.30,-0.04,3.35,3.36
2.776,-0.41,-0.38,1.91,1.99
2.786,-0.16,-0.96,1.08,1.45
2.796,0.18,-1.69,0.44,1.76
2.806,0.46,-2.28,-0.64,2.41
2.816,0.72,-2.80,-1.51,3.27
2.826,1.14,-3.38,-2.12,4.15
2.836,1.56,-4.04,-3.02,5.28
2.846,1.86,-4.57,-4.21,6.49
2.856,2.26,-4.68,-5.01,7.22
2.866,2.32,-4.33,-5.29,7.22
2.876,2.24,-3.61,-5.59,7.02
2.886,2.19,-3.21,-5.44,6.68
2.896,1.99,-3.25,-6.12,7.21
2.906,1.49,-3.73,-6.74,7.85
2.916,0.68,-4.82,-6.92,8.46
2.926,-0.43,-5.96,-9.14,10.93
2.936,-0.73,-5.46,-14.97,15.95
2.946,-0.44,-4.79,-22.54,23.05
